feature,games,accuracy,log_loss,brier
def_pass_success_l3_diff,3018,0.5467196819085487,0.6865756989779904,0.2467230714681267
red_zone_td_rate_ewm_diff,3018,0.5550033134526177,0.686578005346641,0.24672881783173936
yac_per_completion_l3_diff,3018,0.5487077534791253,0.6866018835091873,0.24673874109846947
drives_l8_diff,3018,0.5500331345261763,0.686604599297651,0.24674397639304999
def_cpoe_ewm_diff,3018,0.5556660039761432,0.6866790226032148,0.2467787421203216
def_drives_l5_diff,3018,0.5513585155732273,0.686714203065583,0.24680164171016886
def_drives_std_diff,3018,0.550364479787939,0.6867633720533999,0.24681490562989103
yac_per_completion_l5_diff,3018,0.5493704440026508,0.6867968020355694,0.2468415272246715
def_plays_l3_diff,3018,0.5500331345261763,0.6868615899686991,0.2468724563143564
def_yac_per_completion_l5_diff,3018,0.5563286944996687,0.6868732152776627,0.24684777367707006
def_success_rate_l3_diff,3018,0.5506958250497018,0.6868866726062828,0.24689010863049973
def_pass_epa_std_diff,3018,0.5520212060967529,0.686915687475796,0.24682491305584867
def_yac_per_completion_l8_diff,3018,0.5596421471172962,0.6869578944741811,0.24688332744065425
plays_l5_diff,3018,0.55168986083499,0.6869641870580473,0.2469146530631831
def_qb_hit_rate_ewm_diff,3018,0.550364479787939,0.687048195899721,0.24696098260222496
def_first_down_rate_l8_diff,3018,0.5444002650762094,0.6870561300683456,0.24695560580907694
drives_ewm_diff,3018,0.5497017892644135,0.6871265430470825,0.24700085430178437
fg_attempt_rate_std_diff,3018,0.5483764082173624,0.6871968605164107,0.24702952639708364
def_drives_l3_diff,3018,0.5500331345261763,0.6872294992216377,0.24705213002123058
drives_std_diff,3018,0.5506958250497018,0.6872311125915329,0.24704184487600375
drives_l5_diff,3018,0.550364479787939,0.6872435523757721,0.2470594216632248
def_completion_rate_l3_diff,3018,0.5506958250497018,0.6872519403072237,0.24705762404676734
yac_per_completion_std_diff,3018,0.5483764082173624,0.6872881221799544,0.24705157732891295
def_rush_epa_l5_diff,3018,0.5520212060967529,0.6873747220550184,0.24711269579002676
def_explosive_pass_rate_std_diff,3018,0.5487077534791253,0.6874128113385537,0.2471105415870184
def_sack_rate_l8_diff,3018,0.55168986083499,0.6874178243614496,0.2471268838014385
air_yards_per_attempt_l8_diff,3018,0.5526838966202783,0.6874320764475014,0.2471468960830899
plays_l8_diff,3018,0.5510271703114645,0.6874452257746275,0.24715105877225704
plays_ewm_diff,3018,0.5497017892644135,0.6874524433918845,0.24716024298243222
plays_l3_diff,3018,0.5500331345261763,0.6874956409716315,0.2471842392164467
def_first_down_rate_ewm_diff,3018,0.55168986083499,0.6875186453329817,0.24719347624581758
def_qb_hit_rate_l5_diff,3018,0.5497017892644135,0.6875245120624559,0.24719563937203162
def_qb_hit_rate_std_diff,3018,0.5497017892644135,0.687532628005853,0.24717659543073423
def_yac_per_completion_ewm_diff,3018,0.5579854208084825,0.6875586447859426,0.24718407275393836
turnovers_per_drive_l3_diff,3018,0.5450629555997349,0.687599231873865,0.24722742266436676
def_yac_per_completion_l3_diff,3018,0.5556660039761432,0.6876253640081124,0.24722499561340575
def_wp_added_std_diff,3018,0.5513585155732273,0.6876343888566406,0.24717314118715258
red_zone_td_rate_l3_diff,3018,0.5506958250497018,0.6876401259764757,0.24724540725851946
def_sack_rate_ewm_diff,3018,0.5500331345261763,0.6876962170788744,0.24727352212408799
def_explosive_rush_rate_ewm_diff,3018,0.550364479787939,0.6877555053661062,0.24730820098502915
def_explosive_rush_rate_l5_diff,3018,0.550364479787939,0.6877613794978927,0.24731129287912137
drives_l3_diff,3018,0.5506958250497018,0.6877801573137615,0.24731993593943227
air_yards_per_attempt_l5_diff,3018,0.5493704440026508,0.6877904746274204,0.24732314198249578
def_fg_attempt_rate_l5_diff,3018,0.5447316103379721,0.6878140747156518,0.24733987269647434
